entity,norm,WHAT-GEN,WHY,WHAT-SYMPTOM,HOW-CURE,link
ACNE,여드름,"주로 얼굴에 나타나며 피부 피지선의 염증이나 차단에 의해 발생합니다.

연령 : 사춘기 청소년들과 젊은 층에서 많이 나타난다.
성별 : 남성들에게 흔하다.
유전 : 때로 가족력을 보인다.
생활습관 : 여드름 종류에 따라 위험 요인이 다양하다.

여드름에는 여러가지 종류가 있다. 가장 흔한 것이 심상성 여드름으로, 주로 십대에 나타난다. 남성에게 더 흔하며 증세가 심하다. 사춘기 때의 호르몬 변화에 의해 유발되며 십대 초반에서도 종종 볼 수 있다. 대개 청년기를 지나면 없어지지만 30세 이후에도 지속적으로 나타나는 경우가 있다. 여드름은 외모에 신경을 많이 쓰는 십대들에게 심한 정신적 스트레스를 줄 수 있다. 이외에도 직업적으로 노출되는 물질에 의해 생기는 직업성 여드름, 스테로이드 등의 약물 사용에 의해 생기는 약물 유발성 여드름 등이 있다.","심상성 여드름은 피지선에서 분비되는 피지의 과잉 생산과 관련이 있습니다.#
","여드름의 증상은 아래와 같습니다. 
* 작은 개방 면포가 생긴다.
* 작고 단단한 폐쇄 면포가 생긴다.
* 때로 노란 고름이 찬 붉은 구진이 나타난다.
* 통증이 있고 큰 붉은 멍울이 생긴다.#","다음의 간단한 자가치료법이 여드름을 치유하거나 재발을 막는 데 도움이 됩니다.
* 뜨겁지 않은 온수와 부드러운 세정제로 하루에 두 번씩 세안한다. 이때 얼굴을 심하게
  밀지 않는다. 세게 문지르거나 뜨거운 물을 사용하면 증상이 악화될 수 있다.
* 함부로 병변을 짜지 않는다.
* 매일 병변부에 벤조일 페록사이드를 바른다.
* 직업성 여드름이 있다면 원인물질과 장기간 접촉하지 않도록 의복을 깨끗이한다.#

","

http://www.snuh.org/health/encyclo/view/6/3/1.do"
ACTINIC-KERATOSIS,광선 각화증,"지속적인 햇빛 노출에 의해 피부가 거칠어지고 분홍색, 적색의 인설이 생기는 피부 병변
연령 : 40세 이후에 많이 발생한다.
성별 : 남성에게 흔하다.
유전 : 피부색이 옅은 사람에게 잘 나타난다.
생활습관 : 햇빛 노출이 위험 요인이다.
#
광선각화증은 주로 햇빛 노출에 의해 생기는 작으면서 인설이 있는 피부 종양이다. 40세 이전에는 잘 생기지 않고 40세 이후와 주로 바깥에서 일하는 사람들에게 발생 위험도가 증가한다. 광선각화증은 햇빛에 민감한 백인종에서 흔하다. 병변은 핑크색, 적색이며 거친 질감을 가지고 있다. 주로 햇빛 노출 부위인 얼굴, 손등, 두피 등에 잘 나타난다. 대개 다수의 병변이 동시에 발생한다. 때때로 편평세포암으로 진행되기도 한다.","연령 : 40세 이후에 많이 발생한다.
성별 : 남성에게 흔하다.
유전 : 피부색이 옅은 사람에게 잘 나타난다.
생활습관 : 햇빛 노출이 위험 요인이다.","병변은 핑크색, 적색이며 거친 질감을 가지고 있다. 주로 햇빛 노출 부위인 얼굴, 손등, 두피 등에 잘 나타납니다.#",피부에 나타난 병변은 반드시 제거해야 합니다. 넓은 부위에 많이 생긴 경우에는 항암제인 플루오로우라실(항암제)을 포함하는 크림이 처방됩니다. 치료 후에도 재발할 수 있으므로 이를 막기 위해서는 피부를 햇빛에 노출되지 않도록 보호해야 합니다#(햇빛으로부터의 안전). 대머리이거나 머리숱이 적은 경우는 야외 활동시 모자를 써야 한다.,http://www.snuh.org/health/encyclo/view/6/3/13.do
ATHLETE-FOOT,무좀,"발에 생기는 곰팡이 감염을 말합니다

연령 : 젊은이들에게 흔하다.
생활습관 : 오랜 시간 통풍이 안 되는 양말을 신을 경우에 잘 생긴다.
성별, 유전 : 주요 위험 요인이 아니다.

무좀은 발가락 사이에 많이 발생하는 진균 감염으로, 따뜻하고 습한 곳에서 사는 일부 곰팡이에 의해 생긴다. 무좀은 땀을 많이 흘리고 꼭 끼는 신발을 오래 신고 있는 젊은이들에게 흔하다. 어린이들에겐 드물다. 탈의실이나 수영장을 맨발로 다니는 것으로도 옮을 수 있다.","무좀은 환자의 피부에 직접적으로 접촉하거나 수영장, 공중목욕탕의 발수건, 신발 등에 접촉하여 감염될 수 있습니다.#","네번째와 다섯번째 발가락 사이에 가장 잘 생기며, 흔히 다음과 같은 증상이 나타납니다

* 감염된 부위가 따갑고 갈라지거나 가렵다.
* 인설이 떨어진다.
#
때로 주위로 번져서 발등이나 발톱을 감염시킬 수 있는데, 발톱이 감염되면 노랗게 변하고 두꺼워지며 쉽게 부스러진다. 무좀이 있는 사람은 백선이나 다른 진균 감염증에도 잘 걸린다.","하루에 두 번 이상 항진균제를 발라야 합니다(피부 감염과 기생충 감염 치료제). 증상이 치료된 후에도 며칠간 더 항생제 치료를 받아야 하며, 잘 낫지 않는 경우엔 의사와 상의하는 게 좋습니다.
#
재발을 막으려면 적어도 하루에 한번씩은 발을 씻어야 하며, 땀을 많이 흘리면 더 자주 씻도록 한다. 발을 씻은 후에는 발가락 사이를 잘 말리고 발을 건조하게 유지해야 한다. 집에서는 발가락이 나오는 신발이나 맨발로 다니는 것이 좋다.",http://www.snuh.org/health/encyclo/view/6/4/6.do
BALDNESS,탈모증,"모발이 부분적 또는 전반적으로 빠져나가는 것을 말합니다.

성별, 연령, 유전, 생활습관 : 주요 위험 요인이 아니다.
#
탈모는 부분적인 탈모반의 형태로 나타나거나, 머리카락이 전반적으로 소실되는 형태로 나타나기도 한다. 탈모는 일시적일 수도 있고 영구적일 수도 있다. 탈모가 항상 질병과 연관되는 것은 아니다.","가장 흔한 이유는 남성 호르몬(테스토스테론)에 지나치게 민감하여 발생하는 남성형 탈모증이며, 두발이탈모반의 형태로 국한되어 빠지는 원형탈모증은 자가면역 기전에 의한 것으로 추정되고 있습니다.
#
원형탈모증은 대부분 6개월 내에 저절로 좋아지지만, 드물게 전신적인 탈모로 진행되기도 한다. 머리를 잡아당겨 고정하는 헤어스타일을 할 경우 탈모반이 나타날 수 있다. 또 강박적으로 모발을 잡아 뽑는 정신장애나 진균 감염에 의해서도 발생할 수 있다.

두발의 전반적인 탈모는 나이 든 사람에게는 정상적으로 나타나는 변화이며, 임신이나 수술 등의 심한 스트레스 이후에 발생할 수 있고, 항암 화학요법을 받는 환자들에게도 발생한다.","탈모는 부분적인 탈모반의 형태로 나타나거나, 머리카락이 전반적으로 소실되는 형태로 나타나기도 합니다.#","원형탈모증은 외형을 보고 진단할 수 있다. 대부분 치료를 필요로 하지 않지만, 스테로이드제를 병변 부위에 주사하면 모발의 성장을 촉진시킬 수 있습니다. 원형탈모의 경우는 원인이 되는 기저질환을 치료하면 모발이 다시 자라게 된다. 임신 기간 동안 발생한 탈모 역시 출산 후 약 3개월이 지나면 다시 모발이 자랍니다.#

두피에 판상의 흉터가 있는 경우에는 기저질환을 알아보기 위해 조직 생검이 필요하다. 흉터 부위에 국소적 스테로이드제 또는 항진균제 등을 사용하여 치료할 수 있다. 만약 병변이 심하여 모낭을 침범하면 다시 모발이 자랄 가능성이 낮다.",http://www.snuh.org/health/encyclo/view/6/6/2.do
BED-SORE,욕창,"압력이 가해지는 부위에 생기는 피부 궤양을 말합니다

연령 : 노인들에게 흔하다.
생활습관 : 거동이 불편하거나 누워 있는 사람에게 흔하다.
성별, 유전 : 주요 위험 요인이 아니다.
#
사지가 마비되었거나 움직이지 못하면 최소 몇 시간 동안 자신의 몸무게에 의해 지속적인 압력을 받는 부위가 생긴다. 이 압력이 정상적인 혈액 공급을 방해하여 해당 부위의 조직이 죽어가면서 개방성 욕창이 생기는데 이를 압박 욕창이라 한다. 주로 움직이지 못하고 피부가 약한 노인들에게 생긴다. 요실금도 욕창을 발생시키는 요인이 된다.",주로 움직이지 못하고 피부가 약한 노인들에게 생깁니다. 요실금도 욕창을 발생시키는 요인이 됩니다.#,압력이 가해지는 부위에 생기는 피부 궤양을 말합니다#,"주로 누워 있는 사람은 피부가 붉어지거나 눌러서 아픈 곳이 있는지 정기적으로 살펴보아야 합니다. 적어도 두 시간마다 자세를 바꾸는 것이 좋습니다. 피부를 깨끗하고 마른 상태로 유지하는 것이 중요하다. 감염이 발생하면 항생제 치료가 필요합니다.
#
치료해도 치유 속도는 매우 느리며, 환자의 영양상태와도 관계가 있다. 그러나 깊은 궤양은 치유되는 데 몇 개월이 걸리며 부위가 넓을 경우에는 성형외과적 치료가 필요하다.",http://www.snuh.org/health/encyclo/view/6/3/24.do
BURNS,일괄 화상,"햇빛에 노출되어 생긴 피부의 염증을 말합니다

유전 : 피부색이 옅은 사람들에게 흔하다.
생활습관 : 실외 활동이 위험 요인이다.
성별, 연령 : 주요 위험 요인이 아니다.
#
일광 화상은 자외선이 피부의 세포를 손상시키는 것으로, 피부가 붉어지고 쓰리며 심하면 물집도 생긴다. 화상은 주로 한낮에 햇빛이 가장 강할 때 발생하는데, 수면이나 눈에 반사된 햇빛은 특히 해롭다. 피부가 흰 사람들은 피부를 보호하는 멜라닌이라는 색소가 적기 때문에 화상에 보다 예민하다. 장기간의 햇빛 노출은 피부 노화를 촉진하며 피부암이 발생할 위험성을 증가시킨다. 화상을 예방하기 위해서는 햇빛차단제를 바르거나 지나친 햇빛 노출을 피해야 한다.",일광 화상은 자외선이 피부의 세포를 손상시키는 것에 의해 발생합니다#,"화상은 30분 정도의 햇빛 노출로도 발생할 수 있으며, 3-4시간 후면 다음과 같은 증상이 나타납니다.

* 피부가 붉어지고 쓰리며 뜨거워진다.
* 피부가 부어오른다.
* 심한 경우엔 물집이 생긴다.
#
화상을 입은 지 3-4일 후에는 피부가 건조해지면서 피부가 벗겨진다.","햇빛에 의해 화상을 입었다면 그늘에서 편안히 쉬면서 수분을 충분히 섭취합니다. 알로에 크림, 칼라민 로션, 국소마취제인 리도케인이 포함된 스프레이 또는 로션 등 국소 도포제를 바르면 도움이 되며 냉찜질도 도움이 될 수 있습니다. 심한 화상은 되도록 빨리 의사에게 진료를 받도록 합니다. 심하게 화상을 입고 열사병에 걸렸으면 병원으로 옮겨 긴급히 치료를 받아야 합니다.
#
일광 화상은 햇빛을 피하거나 야외에 나갈 때 피부를 보호함으로써 예방할 수 있다. 오랫동안 햇빛에 노출되거나 화상을 입으면 피부가 빨리 늙고 피부암이 발생할 위험이 커진다.",http://www.snuh.org/health/encyclo/view/6/5/3.do
CELLULITIS,봉와직염,"피부와 피하조직이 세균에 감염되어 붉게 부어오르는 것을 말합니다.

연령 : 노인들에게 흔하다.
생활습관 : 정맥주사가 위험 요인이다.
성별, 유전 : 주요 위험 요인이 아니다.
#
봉와직염은 피부나 피하조직에 난 상처를 통해 세균이 들어가서 감염되는 것이다. 감염이 되면 그 부분이 붉어지고 부풀어오르면서 아프다. 봉와직염은 특히 하지에 흔하다. 혈액 순환이 잘 안 되는 노인들에게 특히 잘 생기며 종창과 궤양을 형성한다. 이외에도 정맥용 주사를 맞는 사람이나 당뇨병 환자, 후천성 면역결핍 증후군 환자의 경우 감염의 위험성이 높다.",봉와직염은 피부나 피하조직에 난 상처를 통해 세균이 들어가서 감염됩니다.#,"다음과 같은 증상이 몇 시간에 걸쳐 발생합니다.

* 감염된 부위에 홍반, 종창, 열감이 나타난다.
* 감염된 부위에 동통과 반발통이 생긴다.
* 열이 나고 한기가 느껴지기도 한다.
#
이런 증상이 발견되면 지체하지 말고 의사를 찾아야 한다. 치료하지 않으면 패혈증을 유발할 수 있다.","상처가 있으면 의사는 그 부위를 긁어서 감염을 유발한 세균을 확인합니다. 항생제를 처방한 후 보통 24-48시간 정도면 효과가 나타나는데, 일부는 입원하여 정맥용 항생제를 투여받기도 합니다. 다리에 발생한 경우 종창을 감소시키기 위해 다리를 높게 유지해야 합니다. 면역 기능이나 순환계에 이상이 있으면 재발할 수 있습니다.#",http://www.snuh.org/health/encyclo/view/6/4/4.do
CHILBLAIN,동창,"손과 발가락에 생기는 종창으로, 가렵고 아픈 증상을 보입니다.

연령 : 어린이와 노인들에게 흔하다.
성별, 유전, 생활습관 : 주요 위험 요인이 아니다.
#
추운 날씨에 혈관이 지나치게 수축하여 발생하며, 손가락과 발가락에 잘 나타난다. 붉고 자주색을 띠며, 추울 때에는 통증이 있다가 따뜻해지면 매우 가려워진다. 보통 특별한 치료 없이 좋아지지만 재발할 수 있다. 추운 곳에 있어야 한다면 운동을 해서 손발로 혈액이 잘 흐르도록 한다. 어린이나 노인, 거동이 불편한 사람들은 추운 곳에 있을 때는 꼭 장갑을 끼고 양말과 모자를 착용하는 등 몸을 따뜻하게 해주면 동창을 예방할 수 있다.

","추운 날씨에 혈관이 지나치게 수축하여 발생하며, 손가락과 발가락에 잘 나타납니다.#","붉고 자주색을 띠며, 추울 때에는 통증이 있다가 따뜻해지면 매우 가려워집니다.#","보통 특별한 치료 없이 좋아지지만 재발할 수 있습니다. 추운 곳에 있어야 한다면 운동을 해서 손발로 혈액이 잘 흐르도록 해야 합니다. 어린이나 노인, 거동이 불편한 사람들은 추운 곳에 있을 때는 꼭 장갑을 끼고 양말과 모자를 착용하는 등 몸을 따뜻하게 해주면 동창을 예방할 수 있습니다.#
",http://www.snuh.org/health/encyclo/view/6/3/22.do
CONTACT-DERMATITIS,접촉성 피부염,"알레르기 또는 자극성 물질에 의한 피부 병변을 말합니다

생활습관 : 화학제 또는 세제에 노출되는 직업이 위험 요인이다.
연령, 성별, 유전 : 주요 위험 요인이 아니다.
#
접촉성 피부염은 특정한 물질과의 접촉에 의해 발생하는 피부 염증으로, 두 가지 유형이 있다. 한 가지는 표백제같이 그 자체에 자극성이 있어 누구에게나 영향을 주는 자극물질에 의해 유발되는 것이고, 또다른 한 가지는 알레르기성에 의한 것이다. 자극을 직접 유발하거나 알레르기성 반응을 유발하는 물질 중에는 화장품, 보석류, 단추, 귀고리, 시계줄 등에 포함된 니켈, 피부연고제에 포함된 화학첨가물이나 약제, 꽃가루 같은 식물 등이 있다.",접촉성 피부염은 대개 피부염을 유발시킨 물질이 피부와 직접적으로 접촉해서 발생합니다.#,"접촉성 피부염은 대개 피부염을 유발시킨 물질이 피부와 직접적으로 접촉한 부위에 발생합니다.
두 가지 유형의 접촉성 피부염은 모두 다음과 같은 증상을 일으킵니다.

* 피부가 벌겋게 되고 부어오른다.
* 물 또는 농으로 채워진 수포가 발생하고, 이 수포가 터지거나 딱지가 앉을 수도 있다.
* 가려움증이 지속된다.#
자극성 물질에 의한 접촉성 피부염은 자극성 물질과 접촉한 직후에 발생하며, 증상의 정도는 자극성 물질의 농도와 노출 기간에 따라 다르다.
알레르기성 접촉성 피부염은 어느정도의 기간에 걸쳐 서서히 진행하는데, 피부에 염증을 발생시키지 않은 채로 수년이 지난 후에 발생하기도 한다. 그러나 일단 피부가 그 물질에 대해 감수성을 갖게 되면 양이 적든 많든, 노출된 시간이 짧든 길든 상관없이 알레르기 반응을 유발한다.

","의사는 우선 피부염이 발생한 시기와 알레르기가 있는지를 확인합니다. 손목에 발생한 피부염이 시계나 시계줄에 때문에 생길 수 있는 것처럼 피부염이 발생한 신체 부위가 발생 원인을 찾아내는 단서가 될 수 있습니다. #염증과 가려움증을 줄이기 위해 국소적 스테로이드제를 처방하지만 접촉성 피부염이 좋아지기까지 수주가 걸리기도 한다.

직업적으로 화학물질을 다루는 경우라면 원인물질이 무엇인지 찾아내는 것이 매우 중요하다. 원인을 알기 어려운 경우에는 첩포시험을 해볼 수 있다. 원인물질이 밝혀지면 되도록 그 물질과 접촉하지 않도록 해야 한다. 그것이 어려우면 원인물질에 노출되기 전에 보습크림이나 보호용 장갑, 보호용 옷 등으로 손을 보호하는 것이 좋다.",http://www.snuh.org/health/encyclo/view/6/2/4.do
DISCOID-LUPUS,원판상 루푸스,"주로 귀 뒤, 얼굴이나 두피에 발생하는 질환으로 가렵고 적색의 인설성 반이 나타납니다.

연령 : 25-45세 사이에 흔하다.
성별 : 여성에게 흔하다.
유전 : 때로 가족력을 보인다.
생활습관 : 강한 햇빛에 노출되면 질환을 유발하거나 악화시킨다.
#
원판상 홍반성 낭창은 자신이 자신의 몸을 공격하는 자가면역 질환이다. 이 질환은 적색의 인설성 병변으로 귀 뒤, 얼굴, 두피 및 햇빛에 노출되는 모든 부위에 발생하며 가렵다. 25-45세의 여성에게 잘 나타나며 원인은 모르지만 가족간에 발생하는 경우가 있으므로 유전적 요인이 의심된다.

햇빛 노출은 질환을 악화시키거나 유발시킨다. 수년간 악화와 호전을 되풀이하며 발생한다. 때때로 사라지기도 하지만 피부가 얇아지거나 변색되는 흉터를 남기기도 한다. 두피에 발생한 경우엔 피부 손상에 의해 병변 부위에 탈모 현상이 일어날 수 있다.","루푸스의 정확한 원인은 밝혀져 있지 않습니다. 루푸스는 자가면역질환으로, 인체 외부로부터 지키는 면역계의 이상으로 오히려 면역계가 자신의 인체를 공격하는 현상이 특징입니다. #","주로 귀 뒤, 얼굴이나 두피에 발생하는 질환으로 가렵고 적색의 인설성 반이 나타납니다.#",햇빛을 피하거나 자외선차단제를 바르고 화장으로 변색된 피부를 감출 수 있다.#,http://www.snuh.org/health/encyclo/view/6/3/14.do
