entity,example,slot,type,norm,body-josa,WHAT-GEN,WHY,HOW-CURE
BLISTER,물집,<BLISTER_FEATURE>,SYMPTOM,물집이 잡히,에,<BODY_FEATURE> 물집이 잡히셨군요. 병명에 대해 알려드릴게요. / <BODY_FEATURE> 물집이 잡힌 증상이 궁금하시군요. 관련된 병명을 찾아드릴게요. / <BODY_FEATURE> 수포가 나는 증상과 관련된 병이 궁금하시군요. 관련된 내용을 찾아드릴게요.,<BODY_FEATURE> 물집이 잡히셨군요. 원인에 대해 알려드릴게요. / <BODY_FEATURE> 물집이 잡힌 원인이 궁금하시군요. 원인에 대해 설명드릴게요. / <BODY_FEATURE> 수포가 나는 증상의 원인을 찾고 계시는군요. 관련 내용을 찾아드릴게요.,<BODY_FEATURE> 물집이 잡히셨군요. 치료법에 대해 알려드릴게요. / <BODY_FEATURE> 물집이 잡힌 증상의 치료법이 궁금하시군요. 관련 내용 찾아드릴게요. / <BODY_FEATURE> 수포가 나는 증상을 치료 받고 싶으시군요. 치료법에 대해 알려드릴게요.
SCAR,상처,<SCAR_FEATURE>,SYMPTOM,상처가 나,에,<BODY_FEATURE> 상처가 나셨군요. 병명에 대해 알려드릴게요. / <BODY_FEATURE> 흉터가 생긴 증상이 궁금하시군요. 관련된 병명을 찾아드릴게요. / <BODY_FEATURE> 흉이 지는 증상과 관련된 병이 궁금하시군요. 관련된 내용을 찾아드릴게요.,<BODY_FEATURE> 상처가 나셨군요. 원인에 대해 알려드릴게요. / <BODY_FEATURE> 흉터가 생긴 원인이 궁금하시군요. 원인에 대해 설명드릴게요. / <BODY_FEATURE> 흉이 지는 증상의 원인을 찾고 계시는군요. 관련 내용을 찾아드릴게요.,<BODY_FEATURE> 상처가 나셨군요. 치료법에 대해 알려드릴게요. / <BODY_FEATURE> 흉터가 생긴 증상의 치료법이 궁금하시군요. 관련 내용 찾아드릴게요. / <BODY_FEATURE> 흉이 지는 증상을 치료 받고 싶으시군요. 치료법에 대해 알려드릴게요.
CRUST,딱지,<CRUST_FEATURE>,SYMPTOM,딱지가 생기,에,<BODY_FEATURE> 딱지가 생기셨군요. 병명에 대해 알려드릴게요. / <BODY_FEATURE> 티눈이 생긴 증상이 궁금하시군요. 관련된 병명을 찾아드릴게요. / <BODY_FEATURE> 굳은살이 생기는 증상과 관련된 병이 궁금하시군요. 관련된 내용을 찾아드릴게요.,<BODY_FEATURE> 딱지가 생기셨군요. 원인에 대해 알려드릴게요. / <BODY_FEATURE> 티눈이 생긴 원인이 궁금하시군요. 원인에 대해 설명드릴게요. / <BODY_FEATURE> 굳은살이 생기는 증상의 원인을 찾고 계시는군요. 관련 내용을 찾아드릴게요.,<BODY_FEATURE> 딱지가 생기셨군요. 치료법에 대해 알려드릴게요. / <BODY_FEATURE> 티눈이 생긴 증상의 치료법이 궁금하시군요. 관련 내용 찾아드릴게요. / <BODY_FEATURE> 굳은살이 생기는 증상을 치료 받고 싶으시군요. 치료법에 대해 알려드릴게요.
MOLE,점,<MOLE_FEATURE>,SYMPTOM,점이 생기,에,<BODY_FEATURE> 점이 생기셨군요. 병명에 대해 알려드릴게요. / <BODY_FEATURE> 점이 생긴 증상이 궁금하시군요. 관련된 병명을 찾아드릴게요. / <BODY_FEATURE> 점이 일어나는 증상과 관련된 병이 궁금하시군요. 관련된 내용을 찾아드릴게요.,<BODY_FEATURE> 점이 생기셨군요. 원인에 대해 알려드릴게요. / <BODY_FEATURE> 점이 생긴 원인이 궁금하시군요. 원인에 대해 설명드릴게요. / <BODY_FEATURE> 점이 일어나는 증상의 원인을 찾고 계시는군요. 관련 내용을 찾아드릴게요.,<BODY_FEATURE> 점이 생기셨군요. 치료법에 대해 알려드릴게요. / <BODY_FEATURE> 점이 생긴 증상의 치료법이 궁금하시군요. 관련 내용 찾아드릴게요. / <BODY_FEATURE> 점이 일어나는 증상을 치료 받고 싶으시군요. 치료법에 대해 알려드릴게요.
ALLERGY,알러지,<ALLERGY_FEATURE>,SYMPTOM,발진이 나,에,<BODY_FEATURE> 발진이 일어나는 증상이 걱정이 되셨군요. 이와 관련된 병은 다음과 같습니다. / <BODY_FEATURE> 붉게 달아오르는 증상이 걱정이 되셨겠어요. 이와 관련된 병은 다음과 같습니다. / 붉게 달아오르는 증상이 <BODY_FEATURE> 나타나서 관련 질환을 찾고 계셨군요. 이와 관련된 병은 다음과 같습니다. ,<BODY_FEATURE> 발진이 일어나는 증상이 걱정이 되셨군요. 이와 관련된 원인은 다음과 같습니다. / <BODY_FEATURE> 붉게 달아오르는 증상이 걱정이 되셨겠어요. 이와 관련된 병과 원인은 다음과 같습니다. / 붉게 달아오르는 증상이 <BODY_FEATURE> 나타나서 원인을 찾고 계셨군요. 이와 관련된 병과 그 원인은 다음과 같습니다. ,<BODY_FEATURE> 발진이 일어나는 증상이 걱정이 되셨군요. 이와 관련된 치료법은 다음과 같습니다. / <BODY_FEATURE> 붉게 달아오르는 증상이 걱정이 되셨겠어요. 이와 관련된 병과 치료법은 다음과 같습니다. / 붉게 달아오르는 증상이 <BODY_FEATURE> 나타나서 치료법을 찾고 계셨군요. 이와 관련된 병과 그 치료법은 다음과 같습니다. 
PUS,고름,<PUS_FEATURE>,SYMPTOM,고름이 생기,에,<BODY_FEATURE> 고름이 생기셨군요. 병명에 대해 알려드릴게요. / <BODY_FEATURE> 진물이 나오는 증상이 궁금하시군요. 관련된 병명을 찾아드릴게요. / <BODY_FEATURE> 농이 진 증상과 관련된 병이 궁금하시군요. 관련된 내용을 찾아드릴게요.,<BODY_FEATURE> 고름이 생기셨군요. 원인에 대해 알려드릴게요. / <BODY_FEATURE> 진물이 나오는 원인이 궁금하시군요. 원인에 대해 설명드릴게요. / <BODY_FEATURE> 농이 진 증상의 원인을 찾고 계시는군요. 관련 내용을 찾아드릴게요.,<BODY_FEATURE> 고름이 생기셨군요. 치료법에 대해 알려드릴게요. / <BODY_FEATURE> 진물이 나오는 증상의 치료법이 궁금하시군요. 관련 내용 찾아드릴게요. / <BODY_FEATURE> 농이 진 증상을 치료 받고 싶으시군요. 치료법에 대해 알려드릴게요.
LUMP,혹,<LUMP_FEATURE>,SYMPTOM,혹이 나,에,<BODY_FEATURE> 혹이 나셨군요. 병명에 대해 알려드릴게요. / <BODY_FEATURE> 멍울이 생겨 그 증상이 궁금하시군요. 관련된 병명을 찾아드릴게요. / <BODY_FEATURE> 종양이 일어난 증상과 관련된 병이 궁금하시군요. 관련된 내용을 찾아드릴게요.,<BODY_FEATURE> 혹이 나셨군요. 원인에 대해 알려드릴게요. / <BODY_FEATURE> 멍울이 생겨 그 원인이 궁금하시군요. 원인에 대해 설명드릴게요. / <BODY_FEATURE> 종양이 일어난 증상의 원인을 찾고 계시는군요. 관련 내용을 찾아드릴게요.,<BODY_FEATURE> 혹이 나셨군요. 치료법에 대해 알려드릴게요. / <BODY_FEATURE> 멍울이 생겨 그 증상의 치료법이 궁금하시군요. 관련 내용 찾아드릴게요. / <BODY_FEATURE> 혹이 난 증상을 치료 받고 싶으시군요. 치료법에 대해 알려드릴게요.
BRUISE,멍,<BRUISE_FEATURE>,SYMPTOM,멍이 생기,에,<BODY_FEATURE> 멍이 나는 증상이 있으시군요. 병명에 대해 알려드릴게요. / <BODY_FEATURE> 멍이 심해지는 증상이 궁금하시군요. 관련된 병명을 찾아드릴게요. / <BODY_FEATURE> 멍이 생기는 증상과 관련된 병이 궁금하시군요. 관련된 내용을 찾아드릴게요.,<BODY_FEATURE> 멍이 나는 증상이 있으시군요. 원인에 대해 알려드릴게요. / <BODY_FEATURE> 멍이 심해지는 원인이 궁금하시군요. 원인에 대해 설명드릴게요. / <BODY_FEATURE> 멍이 생기는 증상의 원인을 찾고 계시는군요. 관련 내용을 찾아드릴게요.,<BODY_FEATURE> 멍이 나는 증상이 있으시군요. 치료법에 대해 알려드릴게요. / <BODY_FEATURE> 멍이 심해지는 증상의 치료법이 궁금하시군요. 관련 내용 찾아드릴게요. / <BODY_FEATURE> 멍이 생기는 증상을 치료 받고 싶으시군요. 치료법에 대해 알려드릴게요.
DEAD-SKIN,각질,<DEAD-SKIN_FEATURE>,SYMPTOM,각질이 떨어지,에서,<BODY_FEATURE> 각질이 떨어지시는군요. 병명에 대해 알려드릴게요. / <BODY_FEATURE> 각질이 생긴 증상이 궁금하시군요. 관련된 병명을 찾아드릴게요. / <BODY_FEATURE> 인설이 생기는 증상과 관련된 병이 궁금하시군요. 관련된 내용을 찾아드릴게요.,<BODY_FEATURE> 각질이 떨어지시는군요. 원인에 대해 알려드릴게요. / <BODY_FEATURE> 각질이 생긴 원인이 궁금하시군요. 원인에 대해 설명드릴게요. / <BODY_FEATURE> 인설이 생기는 증상의 원인을 찾고 계시는군요. 관련 내용을 찾아드릴게요.,<BODY_FEATURE> 각질이 떨어지시는군요. 치료법에 대해 알려드릴게요. / <BODY_FEATURE> 각질이 생긴 증상의 치료법이 궁금하시군요. 관련 내용 찾아드릴게요. / <BODY_FEATURE> 인설이 생기는 증상을 치료 받고 싶으시군요. 치료법에 대해 알려드릴게요.
PAIN,아픔,<PAIN_FEATURE>,SYMPTOM,통증이 느껴지,에,<BODY_FEATURE> 통증이 있으시군요. 병명에 대해 알려드릴게요. / <BODY_FEATURE> 아픔이 생긴 증상이 궁금하시군요. 관련된 병명을 찾아드릴게요. / <BODY_FEATURE> 통증이 생기는 증상과 관련된 병이 궁금하시군요. 관련된 내용을 찾아드릴게요.,<BODY_FEATURE> 통증이 있으시군요. 원인에 대해 알려드릴게요. / <BODY_FEATURE> 아픔이 생긴 원인이 궁금하시군요. 원인에 대해 설명드릴게요. / <BODY_FEATURE> 통증이 생기는 증상의 원인을 찾고 계시는군요. 관련 내용을 찾아드릴게요.,<BODY_FEATURE> 통증이 있으시군요. 치료법에 대해 알려드릴게요. / <BODY_FEATURE> 아픔이 생긴 증상의 치료법이 궁금하시군요. 관련 내용 찾아드릴게요. / <BODY_FEATURE> 통증이 생기는 증상을 치료 받고 싶으시군요. 치료법에 대해 알려드릴게요.
